Client Name,Code,Loaded on 
"Irpino Law Firm, LLC",771I1563,5/3/2024
Sonny's Enterprises,111S1583,5/3/2024
"Uptive Disruptive Manufacturing, LLC",740U3220,5/3/2024
Superior Roadway Services of Florida LLC,769S0057,5/1/2024
"E.R. Snell Contractor, Inc.",744E6232,4/30/2024
Imagine Pediatrics Holdings LLC,708I9124,4/26/2024
MAX Surgical Specialty Management LLC,761M4033,4/24/2024
Hepton Livestock LLC,706H7618,4/8/2024
Asbury Management LLC,394A2682,3/25/2024
Hood Container (Sumter Packaging Corporation),737H5961,3/25/2024
PRN Software LLC dba DoseSpot,165P5245,3/25/2024
Achieve Behavioral Health Services LLC,666A7498,3/23/2024
Maryland Energy Advisors LLC,678M6534,3/23/2024
Leo Capital Operations LLC,401L2953,3/20/2024
"Paragon Potato Farms, Inc.",729P9937,3/19/2024
"RREMC Restaurants, LLC",669R4757,3/5/2024
"Health Advocates Network, Inc.",679H2287,2/19/2024
"Cottonwood Management, LLC",159C0727,2/8/2024
"Insightec, Inc.",606I2318,2/1/2024
Key Autism Services,397K9941,1/30/2024
"Health Advocates Network, Inc. (Internal)",409H8977,1/24/2024
"KCW Engineering Technologies, Inc.",620K2860,1/24/2024
LexMar Global Inc.,332L3996,1/22/2024
"FILA, USA",973F7669,1/16/2024
Independent School Management,383I9399,1/11/2024
"Jackson Spalding, Inc.",645J6685,1/4/2024
ICT Industries Inc.,642I9426,12/29/2023
National Society Daughters of the American Revolution,643N5179,12/29/2023
Monogram Builders,605M6565,12/19/2023
Atlas Roofing Corporation,186A6058,12/14/2023
Atlas Roofing Corporation,187A1811,12/13/2023
"Hoefer Welker, LLC",627H3131,12/12/2023
Enhance Rehabilitation LLC,396E4188,12/1/2023
"Bulman Enterprises, Inc. DBA The Original Pancake House",418B0754,11/20/2023
Atlas Roofing Corporation (Daingerfield Union),183A8799,11/14/2023
Atlas Roofing Corporation (Hampton Union),185A0305,11/14/2023
"Defense Contracting, Inc.",894D7182,11/10/2023
"Edgewater Recovery Center, LLC",609E9577,11/10/2023
"Allure of Mt Carrol, LLC",453A2109,11/7/2023
"Allure of Prophetstown, LLC",454A7862,11/7/2023
"Allure of Sterling, LLC",455A3615,11/7/2023
Rule Marketing LLC dba Bones Coffee Company,607R8071,11/6/2023
Terrace of Delray Beach LLC,452T6356,11/6/2023
Terrace of Hialeah LLC,451T0603,11/6/2023
Terrace of Lake Worth LLC,450T4850,11/6/2023
Alpha Home A Waters Community,542A4126,11/2/2023
"Centennial Medical Group, P.A.",602C9306,11/2/2023
Nationwide Property & Appraisal Services LLC,161N2233,11/2/2023
"Innovative Systems Group of Florida, Inc.",608I3824,11/1/2023
Terrace of Boca Raton LLC,449T9097,10/26/2023
Lutheran Social Ministries of Maryland,384L5152,10/25/2023
"Allure Healthcare Services, LLC",234A2202,10/24/2023
Rain Retail Software,154R1962,10/24/2023
Airoldi Brothers Inc.,245A5485,10/23/2023
"BevSource, LLC",164B9492,10/18/2023
"Hanson Professional Services, Inc.",417H5001,10/18/2023
Packer Fastener & Supply Inc.,430P9790,10/18/2023
"SCP Orthopedic Service, LLC",152S0456,10/18/2023
"RGL Holdings, Inc.",427R2531,10/16/2023
"SCP WQS Lower Holdco, LLC",163S3739,10/16/2023
"East Coast Institute for Research, LLC",426E6778,10/13/2023
Arcadia Care Management LLC,314A2442,10/12/2023
The Bartley Corporation,317T9701,10/12/2023
"Cal Ripken, Sr. Foundation, Inc.",313C6689,10/10/2023
Pioneer Transportation LTD,425P1025,10/10/2023
"Abarca Health FL, LLC",373A1869,10/3/2023
"Fox Valley Tool & Die, Inc.",338F0514,10/2/2023
Sunburst Hospitality Corporation,388S8164,10/2/2023
"Yellowstone River Beef, Inc",411Y0483,9/26/2023
"Custom Fabricating & Repair, Inc.",342C3526,9/25/2023
"Amerilux International, LLC",243A3979,9/20/2023
"Cash Depot, LTD.",242C8226,9/20/2023
"Regional Management, Inc.",168R6504,9/19/2023
"Accurate Controls, Inc",341A7773,9/18/2023
"Eastern VetPath, LLC",410E4730,9/18/2023
"MD Group, LLC DBA Hometown Pharmacy",345M0785,9/15/2023
"MentorcliQ, Inc.",162M7986,9/14/2023
"Grafton Transit, Inc.",415G3495,9/13/2023
"Innovative Defense Technologies, LLC",093I1029,9/12/2023
V&S Midwest Carriers Corp.,348V8044,9/12/2023
"Burton Industries, Inc.",412B6236,9/7/2023
"RPE, LLC",351R5303,9/7/2023
"Sonobi, Inc.",336S9008,9/7/2023
"Schierl Sales Corp, Inc.",353S6809,9/1/2023
Semilab USA LLC,392S1176,8/30/2023
"Analytica, LLC",391A5423,8/24/2023
Hood Container (Salary),193H6329,8/21/2023
"Wilder, LLC",375W3375,8/15/2023
Control Tech USA Ltd.,372C6116,8/14/2023
Hood Container (Greensboro Union),194H2082,8/14/2023
Hood Container (Hourly and St. Francisville),191H4823,8/14/2023
Hood Container (New Johnsonville Union),192H0576,8/14/2023
"Central WI Flex, Inc.",377C4881,8/9/2023
Dynamic Ratings Inc.,379D6387,8/9/2023
Matthews Tire Inc.,378M0634,8/9/2023
"Enerquip, LLC",343E9279,8/4/2023
"Faulks Brothers Construction, Inc.",344F5032,8/4/2023
Merrill Iron and Steel Inc.,346M6538,8/4/2023
"MMP of Merrill, Inc.",349M3797,8/4/2023
"WSF, Inc.",352W1056,8/4/2023
AirPro Fan and Blower Company,244A9732,8/3/2023
"Applied Laser Technologies, LLC",339A6267,8/2/2023
"Cherry Optical, Inc.",316C3948,8/2/2023
"Salvo Limited Partnership, LLLP",151S4703,7/31/2023
"Ponsse North America, Inc.",350P9550,7/27/2023
"J.D. Neuhaus, L.P.",246J1238,7/26/2023
"Agra Industries, Inc.",340A2020,7/17/2023
Xtreme Trucking LLC,354X2562,7/17/2023
In Bloom Florist,325I5725,7/13/2023
"Priority Ambulance, LLC",951P4103,7/13/2023
The Alpha Corporation of Tennessee,309T3677,7/11/2023
ATHENA Consulting LLC,337A4761,6/28/2023
Certainty of Uncertainty LLC,073C5969,6/28/2023
Hood Packaging (St Paul Choice Production),169H8257,6/28/2023
Ripken Holdings,505R5265,6/28/2023
"Syskoplan Reply, LLC",109S3077,6/28/2023
OpenPath Products LLC,326O1478,6/23/2023
"Yakshna Solutions, Inc.",310Y9430,6/21/2023
Pike Enterprises,009P7777,6/20/2023
"SunCoast Contractors Supply, Inc.",103S8559,6/20/2023
Young Life,834Y8002,6/16/2023
Hood Packaging (Crossett Production),166H0998,6/13/2023
Hood Packaging (Minneapolis Production),181H7293,6/13/2023
"Merit Commercial Windows, LLC",327M7231,6/13/2023
Tradepoint Atlantic LLC,207T0871,6/8/2023
Hood Packaging (Salaried St Paul Special Class),172H5516,6/7/2023
Hood Packaging (Grand Forks Production),167H6751,6/1/2023
Hood Flexible Packaging (Salary),190H9070,5/31/2023
Hood Flexible Packaging (Union),189H3317,5/31/2023
Hood Packaging (All Salaried at St Paul),175H2775,5/31/2023
"Hood Packaging (All Salaried Except Grand Forks, St Paul & Officers)",174H7022,5/31/2023
Hood Packaging (All Salaried Officers),165H5245,5/31/2023
Hood Packaging (Hamlet Production),168H2504,5/31/2023
Hood Packaging (Vancouver Production),170H4010,5/31/2023
Hood Packaging (Wilmington Production),171H9763,5/31/2023
Thompson Financial Group,021T6813,5/24/2023
"Georgia Bone & Joint Surgeons, P.C.",158G4974,5/19/2023
Receivable Solutions LLC,135R2655,5/19/2023
"Cadwell Industries, Inc.",041C1873,5/18/2023
Hood Industries (Non-Board of Directors),196H3588,5/4/2023
Hood Packaging (All Salaried at Grand Forks),176H8528,5/4/2023
"GC Packaging, LLC",065G9945,5/3/2023
Hood Industries (Board of Directors),195H7835,4/21/2023
"Vysnova Partners, Inc.",364V7092,4/21/2023
The Change Company,225T0425,4/18/2023
Spring Foods Holdings,947S1091,4/13/2023
"Carrol Independent Fuel, LLC",102C2806,3/29/2023
"Charter Contracting Company, LLC",642C3426,3/28/2023
Hood Packaging (Anniston Production),177H4281,3/28/2023
Hood Packaging (Hanford Production),178H0034,3/28/2023
Hood Packaging (Monticello & Summerville Production),179H5787,3/28/2023
"Thorne Research, Inc.",115T7595,3/21/2023
"Sibley, Tifton & Hazleton Production",214S1142,3/16/2023
"Seerist, Inc.",128S2384,3/8/2023
AHC Inc.,267A9051,3/7/2023
Elevate Care,957E8621,3/7/2023
Widewail,101W7053,3/1/2023
Bourne's of Morrisville Inc,116B3348,2/28/2023
Fluency Inc ,112F0336,2/28/2023
Buch Construction,094B6782,2/23/2023
"Prince CPA Group, LLC",062P2686,2/17/2023
"McAllister, DeTar, Showalter & Walker LLC ",108M7324,2/16/2023
SA Hospitality Group LLC,096S8288,1/31/2023
"Service Unlimited, Inc.",074S1722,1/27/2023
"Miller & Zois, LLC",022M2566,1/25/2023
"Unknown Studio Landscape Architecture & Urban Design, LLC",095U2535,1/23/2023
Acento Real Estate Partners,493A9229,1/19/2023
"Adams Diversified Equity Fund, Inc.",005A4765,1/19/2023
Baltimore Ravens Limited Partnership - Interns,088B2264,1/16/2023
Integrated Design Solutions LLC,054I6662,1/16/2023
"Broad Reach, Inc. ",061B6933,1/10/2023
GCP Personnel LLC,064G4192,12/28/2022
Summit 7 Systems,063S8439,12/15/2022
Ferguson Trenching Company Inc.,724F5172,12/13/2022
Expansion LLC,044E9132,11/22/2022
"Northeast Remsco, Inc.",030N8590,11/11/2022
"Tessco Technologies, Inc.",014T6542,11/10/2022
The Washington Home,958T4374,11/10/2022
National Association of Conservation Districts,528N0584,11/7/2022
Populus Group Internal,935P2055,11/2/2022
"Rev Renewables Ops, LLC",950R8350,10/28/2022
Infinitive,965I4645,10/26/2022
"Phaxis, LLC",905P9465,10/25/2022
Swingtech Consulting,930S3290,10/20/2022
"Valuation Services, Inc.",675V6275,10/19/2022
JBA Chevrolet,740J7220,10/18/2022
Anfield Interiors Inc.,973A0669,10/14/2022
Delinea Incorporation,959D0127,10/13/2022
"Hypori, Inc.",006H0518,10/12/2022
St. Francis Neighborhood Center,974S6422,10/11/2022
JR Balsan dba Johnstone Supply,872J9616,9/29/2022
Packaging Machinery Manufacturer Institute,961P1633,9/28/2022
"B & B Leasing Co., Inc.",948B6844,9/23/2022
Association for Career and Technical Education,906A5218,9/21/2022
"Carl’s Door Service, Inc.",960C5880,9/21/2022
InOutsource LLC,962I7386,8/30/2022
"Janet, Janet & Suggs, LLC",632J8896,8/3/2022
"Trilogy Federal, LLC",949T2597,7/29/2022
"AB Contracting, Inc.",788A6364,7/26/2022
"Interior Systems, Inc",823I7719,7/19/2022
"Lifescan Labs of Illinois, LLC",884L8652,7/8/2022
Spalding & Day Tool & Die,844S8532,6/22/2022
ACME Mechanical Contractors of Virginia,857A3321,6/16/2022
"Invisors, LLC",447I4591,6/16/2022
"Continental Insurance Group, Ltd.",824C3472,6/15/2022
Sharp Packaging Services LLC,309S0677,6/13/2022
"Prince & Luffey, LLC dba Paramount Healthcare",843P2779,5/26/2022
Dialysis Clinic Inc,437D7061,5/24/2022
"Grovehouse Hospitality, LLC",814G5942,5/6/2022
"Fanatics Lids College, Inc.",631F3143,4/29/2022
Talahi Nursing and Rehab Center LLC,652T3956,4/28/2022
Proud Moments ABA,500P9500,4/13/2022
Southern HVAC,741S5973,4/13/2022
"JOKR fulfillment Services, LLC",811J8683,4/12/2022
Cementworks LLC d/b/a The Bloc,799C9647,4/7/2022
supplyFORCE,619S4107,4/7/2022
"Refuah Health Center, Inc.",789R2117,4/6/2022
IPC Systems Inc.,718I3654,4/4/2022
"Schaefer Mechanical Services, Inc.",794S0882,3/25/2022
"Apogee Research, LLC",725A3925,3/23/2022
Georgia Baptist Mission Board,661G5733,3/23/2022
"Blend360, LLC",299B3147,3/16/2022
"Foard Brothers, Inc.",541F5373,3/15/2022
"Village Settlements, Inc.",526V9078,3/14/2022
"SDI, Inc.",710S7630,3/7/2022
Harebrained Holdings Inc,446H8838,3/1/2022
Cigars on Walnut,628C5884,2/25/2022
"AttainX, Inc.",745A8985,2/14/2022
Orthopaedic Medical Group of Tampa Bay,702O1606,2/9/2022
Human Resources Research Organization,474H9922,2/4/2022
Capitol Advisors on Technology LLC,542C1126,1/17/2022
"Deerfield Packaging Service, Inc",618D8354,1/17/2022
Harmony Home Health Services LLC,629H1637,1/17/2022
"Keller Transportation, Inc.",040K0120,1/17/2022
Living Classrooms Foundation,630L7390,1/6/2022
"T2S, LLC",778T5834,1/6/2022
"Espire Services, LLC",530E2090,12/23/2021
KC Jones Plating Company,574K5222,12/21/2021
Goldenstate Landscapes Inc.,559G8927,12/20/2021
Blue Sage Solutions,499B3747,12/14/2021
"CFM Project Consulting Group, Inc.",617C2601,11/23/2021
"Core4ce, LLC",475C5675,11/22/2021
Lincoln National Bank,561L0433,11/15/2021
"C.W. Strittmatter, Inc.",540C9620,11/9/2021
"Carroll Tree Service, Inc.",552C8656,11/4/2021
Conveyco Inc.,560C4680,11/3/2021
International Foodservice Distributors Association,501I5253,11/3/2021
"Mike’s Train House, Inc. t.a MTH Electric Trains",494M4982,11/3/2021
"Community First Bank, Inc.",519C8807,10/22/2021
Internet Society,380I9140,10/20/2021
"Phillips Foods, Inc.",061P3933,10/13/2021
Roadside Development LLC,492R3476,10/11/2021
"Zimmerman Associates, Inc.",472Z8416,10/5/2021
American Civil Liberties Union Foundation of Maryland,450A1850,9/22/2021
Mountain Christian Church,471M2663,9/1/2021
"Talking Tadpoles, LLC",390T6670,9/1/2021
"Emagine It, Inc.",964E5892,8/27/2021
"Richford Health Center, Inc.",430R6790,8/16/2021
"Cox Manufacturing Company, Inc.",451C7603,8/9/2021
"Forster & Garbus, LLP",407F4471,8/9/2021
Surgery Center of Potomac LLC ,429S1037,8/5/2021
"Laurita Excavating, Inc. dba Laurita, Inc.",455L0615,8/3/2021
"CALIBRE Systems, Inc.",433C4049,7/14/2021
"Kelly & Associates Insurance Group, Inc.",003K7259,7/14/2021
Oasis Group Holdings,307O9171,7/14/2021
Revival Holdings LLC,447R4591,7/7/2021
W.M. Schlosser Company Inc.,180W5540,7/7/2021
Maryland Family Network,318M2454,7/6/2021
"South Hill Family Medicine, PC",392S8176,7/1/2021
"Banc of California, Inc.",661B2733,6/16/2021
Manor College,381M4893,6/16/2021
Peterson Companies,432P8296,6/16/2021
Stern & Eisenberg P.C.,389S0917,6/16/2021
"Matrix Capital Markets Group, Inc",369M5857,5/27/2021
Association for the Advancement of Medical Instrumentation,411A7483,5/21/2021
"rR.V. Carey's Plumbing and Heating, Inc. ",421R5013,5/21/2021
"Nationwide Mortgage Bankers, Inc.",415N0495,5/17/2021
"Dowbuilt, Inc",393D3929,5/11/2021
"Aledade, Inc.",343A6279,5/5/2021
Eastbanc Inc.,075E4475,5/5/2021
"Longeviti Neuro Solutions, LLC",377L1881,5/5/2021
Wilmington Christian School,388W5164,5/5/2021
"Brody Transportation Co., Inc.",386B3658,4/23/2021
Gateways Hospital and Mental Health Center,417G2001,4/23/2021
"UMUC Ventures, Inc.",300U8900,4/23/2021
"High 5 Hospitality, LLC",828H3484,4/12/2021
"Vaughan Co., Inc.",412V3236,4/9/2021
"Franklin & Prokopik, P.C.",303F6159,4/1/2021
People Assisting the Homeless (PATH),406P8718,4/1/2021
Tube Art Displays (dba Tube Art Group),391T2423,3/26/2021
"Monumental Paving & Excavating, Inc.",315M5195,3/24/2021
"CPS Professional Services, LLC dba CATHEXIS",357C6821,3/23/2021
Highlight Technologies Inc.,382H0646,3/18/2021
"Kersh Information Technology Services, LLC",365K2845,3/18/2021
"Global Consulting, Inc.",383G6399,3/15/2021
Holy Cross Anesthesiology Associates PA,363H1339,3/10/2021
"Petitbon Alarm Company, Inc.",339P3267,3/10/2021
Harris Bus & Terminal Service Inc.,374H4622,3/1/2021
"Noel’s Fire Protection Management Services, LLC",366N8598,3/1/2021
"Smartlink, LLC",092S9276,2/24/2021
"The Jemicy School, Inc.",896T4688,2/24/2021
Education Affiliates,974E3422,2/18/2021
"March Hodge Bowie, LLC",359M8327,2/18/2021
Morelli Motors LLC dba Nissan of Lexington Park,361M9833,2/16/2021
Network Doctor NJ LLC,319N8207,2/16/2021
Sulgrave Club Inc.,362S5586,2/16/2021
Baltimore Ravens Limited Partnership,044B3132,2/10/2021
Center for Strategic & International Studies,340C9020,2/10/2021
Mathew Greenwald and Associates,895M8935,2/4/2021
"Sanford School, Inc.",745S5985,2/4/2021
"Synergist Computing, LLC",358S2574,2/4/2021
Placers Inc. of DE,207P3871,2/2/2021
Institute For Advanced Clinical Trials For Children,889I4417,2/1/2021
"Kerecis, LLC ",348K5044,1/29/2021
"Bomberger's Store, Inc.",327B4231,1/28/2021
CBP Benefits,705C5865,1/22/2021
Delta Healthcare Management,251D7003,1/22/2021
"Pennsylvania Multifamily Asset Managers, LLC",819P1707,1/20/2021
"KA Support Services, LLC",244K6732,1/18/2021
"Wells Automotive, Inc.",810W9930,12/24/2020
Brick Bodies & Planet Fitness Growth Partners,298B4394,12/22/2020
Crystal City Working Parents Inc.,320C3960,12/18/2020
"Engineering Consulting Services, LTD",298E7394,12/17/2020
"RBJ Wealth Management, LLC",321R9713,12/17/2020
"GridPoint, Inc.",194G6082,12/2/2020
"Convergenz, LLC",311C2183,11/23/2020
Dutch Miller Auto Group,210D1130,11/23/2020
"Flywheel Digital, LLC",302F0406,11/23/2020
"Victor Three-D, Inc.",294V4382,11/20/2020
"Wexford Staffing, Inc.",710W4630,11/17/2020
"LCB Solutions, LLC",310L6430,10/30/2020
"Adams Communication & Engineering Technology, Inc.",247A3991,10/22/2020
"ServiceSource, Inc.",297S1641,10/20/2020
"Mount Washington Veterinarian Medical Group, PA",290M1370,10/19/2020
The Tower at Harbor Court Condominium,253T8509,10/19/2020
"Delmar Corporate Cleaning Services, Inc. ",764D5292,10/15/2020
Dr. Paul Feild Jr. DDS PA,274D9322,10/15/2020
Earth Networks,134E3902,10/15/2020
"Technomics, Inc.",273T3569,10/13/2020
"Employee Benefit Associates, Inc.",296E5888,10/12/2020
"Humphrey Rich Construction Group, Inc.",288H9864,10/12/2020
"Strahman Valves, Inc.",276S0828,10/12/2020
"The Law Offices of Frank F. Daily, P.A.",278T2334,10/9/2020
"Zust Bachmeier of Switzerland, Inc. Secure Facility Corporation",897Z0441,10/9/2020
Hilltop Electric Company,258H4274,10/5/2020
"Eyewitness Acquisition, LLC",291E7123,10/2/2020
"Reedman Toll, LP",243R0979,10/2/2020
Definitive Logic Corp.,254D4262,9/29/2020
"A.R. Marani, Inc.",264A1792,9/25/2020
"M. Nelson Barnes & Son, Inc.",287M4111,9/25/2020
"Modern Technology Solutions, Inc.",744M0232,9/24/2020
"Beltway International, LLC",246B8238,9/22/2020
Virtua Health Inc.,031V8343,9/18/2020
"Engineering Solutions, Inc. ",277E6581,9/17/2020
YMCA of Delaware,734Y2702,9/17/2020
"Lids Holdings, Inc.",132L2396,9/9/2020
Contemporary Watercrafters,943C5079,9/8/2020
"American Surgical Assistants, Inc.",275A5075,8/25/2020
Bearing Construction Inc.,236B0708,8/18/2020
Alexandria Lake Ridge Pediatrics,272A7816,8/12/2020
"CoLinx, LLC",872C6616,8/12/2020
"The Rock Brook Consulting Group, PA",271T2063,8/12/2020
"Tribal Tech, LLC",266T3298,8/11/2020
"Square Roots Holdings, LLC.",209S5377,7/22/2020
Anchor Construction Corporation,900A7700,7/17/2020
Amida Technology Solutions,241A9473,7/14/2020
"Scott-Long Construction, Inc.",252S9756,6/29/2020
"Sierra7, Inc.",242S5226,6/29/2020
"Praesum Healthcare Services, LLC",226P3178,6/26/2020
"Arlington Properties, Inc.",223A5919,6/12/2020
Thompson Automotive Group,231T1943,6/9/2020
Topsail Professional Services,925T1525,6/1/2020
Rock Springs Capital Management LP,227R8931,5/28/2020
Har-Co Credit Union,888H8664,5/20/2020
"International Motor Cars, Inc.",553I1409,5/12/2020
"Roger Cleveland Golf, Inc.",843R9779,5/5/2020
EJF Capital LLC,470E3910,4/27/2020
Horich Hector Lebow Advertising Inc,912H6736,4/24/2020
Procession Systems,213P8389,4/23/2020
Obsidian Solutions Group,206O8118,4/22/2020
PEP Printing Inc. dba Premier Press,183P5799,4/17/2020
"Unikote, Inc.",216U5648,4/16/2020
"Velosport, LLC DBA Keswick Cycle",182V0046,4/15/2020
"Schlachman, Belsky, Weiner & Davey, P.A.",219S2907,4/14/2020
"Pizza Johns, Inc.",165P2245,4/7/2020
"PD Systems, Inc.",208P9624,4/3/2020
"SYSTOLIC, Inc.",909S9477,4/3/2020
"Van Deusen & Associates, Inc.",211V6883,4/3/2020
"Rainelle Medical Center, Inc.",193R3329,3/20/2020
Carl Warren & Company,062C9686,3/18/2020
"Preferred Systems Solutions, Inc.",173P5269,3/11/2020
Dover Federal Credit Union,746D1738,3/10/2020
International Systems Management Corp.,202I5106,3/4/2020
YWCA National Capital Area,106Y2818,2/20/2020
"Councilor Buchanon & Mitchell, P.C.",185C7305,2/11/2020
Franconia- Springfield Surgery Center,191F1823,2/11/2020
"American Association of Zoological Parks & Aquariums, Inc.",178A7034,2/7/2020
"G-Squared Partners, LLC",159G7727,2/7/2020
"Miami International Holdings, Inc.",189M0317,2/4/2020
Mid-Atlantic Nephrology Associates PA,879M6887,2/4/2020
Blue Ocean Two,175B9775,1/31/2020
Argo Systems LLC,168A9504,1/24/2020
"Foxborough Nursery, Inc",761F8033,1/21/2020
"Linux Academy, Inc.",186L3058,1/21/2020
"ThinkFoodGroup, Inc.",161T9233,1/21/2020
Internet Testing Systems ,160I0480,1/10/2020
Padonia LLC t.a Bluestone,167P3751,1/10/2020
"Phoenix Services, LLC",138P6914,1/10/2020
The Epilepsy Foundation of America,176T5528,1/6/2020
"Belsono Management Group, LLC",177B1281,12/23/2019
"Canfield Scientific, Inc.",171C6763,12/23/2019
"PinnacleCare International, LLC",166P7998,12/18/2019
The Harry & Jeanette Weinberg Foundation,153T3209,12/17/2019
"Acumen Solutions, Inc.",172A2516,12/11/2019
Outotec (USA) Inc.,475O2675,12/11/2019
"M3 COM of Virginia, Inc.",164M6492,12/4/2019
Ad Hoc LLC,160A3480,12/3/2019
"S&K Roofing, Siding and Windows, Inc.",152S7456,12/3/2019
Vane Brothers Company,095V6535,11/26/2019
Baltimore Lab School,151B1703,11/25/2019
Homespire Mortgage Corporation,147H8691,10/24/2019
American Waterways dba Portland Spirit,121A9113,10/4/2019
J.G. Edelen Company Inc,155J1715,10/4/2019
CRS Temporary Housing,766C6798,9/27/2019
"Harris Jones & Malone, LLC",124H6372,9/25/2019
Freeland Hoist & Crane,141F4173,9/23/2019
NewRez,115N4595,9/23/2019
The Nassal Company,105T7065,9/23/2019
Southern Graphics Systems Inc.,125S2125,9/19/2019
National Association of Broadcasters,664N9992,9/16/2019
Red Hawk LLC,904R0712,9/11/2019
"Sunrise Sanitation Services, Inc.",110S5830,9/11/2019
"Columbia Benefit Solutions, Inc.",120C3360,9/9/2019
Daicel Safety Systems Americas,959D7127,9/6/2019
The Bowers Group Inc.,131T6643,9/4/2019
"Best Plumbing Specialties, Inc.",112B7336,8/30/2019
"Portland Rent All, Inc. dba The Party Place",114P8842,8/23/2019
Meetha Ventures LLC DBA Lolli & Pops,127M3631,8/22/2019
N. Ginsburg & Sons Inc. t.a Floors Etc.,126N7878,8/15/2019
Goetze's Candy Co. Inc.,101G4053,8/13/2019
"Choisys Technology, Inc.",123C0619,8/12/2019
"PT Network, LLC (Pivot)",122P4866,8/7/2019
The Berg Corporation Crushing Corporation of America ,776T4328,8/6/2019
"Challenger Auto & Truck Service, LLC",658C5474,7/22/2019
Population Services International,159P4727,7/22/2019
"CW Professional Services, LLC",108C4324,7/11/2019
Franklin Mint Federal Credit Union ,099F2547,7/11/2019
"Digital Management, LLC",104D1312,7/9/2019
"Gvozden Pediatric, PA",650G9450,7/2/2019
Maryland Hospital Association,100M8300,6/28/2019
"Daicel America Holdings, Inc.",848D8544,6/25/2019
"Miscellaneous Metals, Inc",841M8273,6/24/2019
Whiteboard Federal Technologies Corporation,882W4146,6/21/2019
"CARDONE Industries, Inc.",092C2276,6/11/2019
Chatham Financial Corp. ,096C5288,6/10/2019
"Mission BBQ Management, LLC",885M1405,5/24/2019
"Curio Holdings, LLC",790C4870,5/14/2019
"Eastern Athletic Clubs, LLC",091E6523,5/14/2019
"Barry J. Cohen, M.D., P.C.",090B0770,5/13/2019
"Bennett C Yang, MD PC",087B3511,5/9/2019
"Adam G. Tattelbaum, MD PC",083A0499,5/3/2019
J Street ,086J7758,5/3/2019
National Communication Association,079N7487,5/3/2019
Holt's Cigar Holdings Inc,082H4746,5/1/2019
Lighthouse Property Management,080L3240,4/29/2019
"N.K.S. Distributors, Inc.",798N0894,4/11/2019
"Providence Center, Inc.",076P0228,4/5/2019
Systems Engineering Solutions Corporation,074S8722,4/3/2019
"Pro-Sphere Tek, Inc.",071P1463,4/1/2019
"REDLattice, Inc",054R3662,3/26/2019
186 Media,4214626,3/25/2019
"Celerity Government Solutions, LLC DBA Xcelerate Solutions",070C5710,3/20/2019
"Apertus Solutions, LLC",874A8122,3/18/2019
"Intelligent Waves, LLC",057I0921,3/18/2019
"RFC, Inc.",019R2307,3/5/2019
Compass Regional Hospice Inc.,007C3271,3/4/2019
Inky Technology Corporation,026I2578,2/27/2019
Mount Washington Pediatric Hospital,097M8041,2/26/2019
Citadel Federal Credit Union,107C5571,2/21/2019
The Orthopaedic Institute PA,064T1192,2/19/2019
Burlington Financial Group,045B1885,2/13/2019
"DSU-Peterbilt & GMC, Inc.",035D4355,2/13/2019
Intelligent Automation,004I6012,2/11/2019
"Avery Hall Insurance Agency, Inc.",824A0472,2/8/2019
DC Brau,709D8877,2/7/2019
Capitol Power Group LLC,056C5168,2/1/2019
Venbrook Group LLC,642V3426,2/1/2019
