Client Name,Code,Loaded on 
"Georgia Bone & Joint Surgeons, P.C.",158G4974,2023-05-19
Gilbert Foods LLC t.a Hearn Kirkwood ,031G1343,2018-11-30
"Global Consulting, Inc.",383G6399,2021-03-15
Goetze's Candy Co. Inc.,101G4053,2019-08-13
Goldenstate Landscapes Inc.,559G8927,2021-12-20
"Grafton Transit, Inc.",415G3495,2023-09-13
Gramophone LTD,027G8331,2019-01-23
Green Leaf Management LLC,979G2187,2018-09-12
"GridPoint, Inc.",194G6082,2020-12-02
Groundbreaking Designs LLC,988G3964,2018-09-12
"Grovehouse Hospitality, LLC",814G5942,2022-05-06
"GSP Marketing Technologies, Inc.",822G4966,2024-07-18
"G-Squared Partners, LLC",159G7727,2020-02-07
"GuidePoint Security, LLC",827G3731,2024-07-16
"Gvozden Pediatric, PA",650G9450,2019-07-02
H2 Hospitalist Group,015H9295,2018-10-30
"Hanson Professional Services, Inc.",417H5001,2023-10-18
Har-Co Credit Union,888H8664,2020-05-20
Harebrained Holdings Inc,446H8838,2022-03-01
Harmony Home Health Services LLC,629H1637,2022-01-17
Harris Bus & Terminal Service Inc.,374H4622,2021-03-01
"Harris Jones & Malone, LLC",124H6372,2019-09-25
"Health Advocates Network, Inc.",679H2287,2024-02-19
"Health Advocates Network, Inc. (Internal)",409H8977,2024-01-24
"HeiTech Services, Inc",952H6856,2018-05-03
Helping Up Mission,983H5199,2018-08-14
Hepton Livestock LLC,706H7618,2024-04-08
"High 5 Hospitality, LLC",828H3484,2021-04-12
Highlight Technologies Inc.,382H0646,2021-03-18
Hilltop Electric Company,258H4274,2020-10-05
Hirsch Electric LLC,305H4665,2018-04-17
"Hoefer Welker, LLC",627H3131,2023-12-12
Holt's Cigar Holdings Inc,082H4746,2019-05-01
Holy Cross Anesthesiology Associates PA,363H1339,2021-03-10
Homespire Mortgage Corporation,147H8691,2019-10-24
Hood Container (Greensboro Union),194H2082,2023-08-14
Hood Container (Hourly and St. Francisville),191H4823,2023-08-14
Hood Container (New Johnsonville Union),192H0576,2023-08-14
Hood Container (Salary),193H6329,2023-08-21
Hood Container (Sumter Packaging Corporation),737H5961,2024-03-25
Hood Flexible Packaging (Salary),190H9070,2023-05-31
Hood Flexible Packaging (Union),189H3317,2023-05-31
Hood Industries (Board of Directors),195H7835,2023-04-21
Hood Industries (Non-Board of Directors),196H3588,2023-05-04
Hood Packaging (All Salaried at Grand Forks),176H8528,2023-05-04
Hood Packaging (All Salaried at St Paul),175H2775,2023-05-31
"Hood Packaging (All Salaried Except Grand Forks, St Paul & Officers)",174H7022,2023-05-31
Hood Packaging (All Salaried Officers),165H5245,2023-05-31
Hood Packaging (Anniston Production),177H4281,2023-03-28
Hood Packaging (Crossett Production),166H0998,2023-06-13
Hood Packaging (Grand Forks Production),167H6751,2023-06-01
Hood Packaging (Hamlet Production),168H2504,2023-05-31
Hood Packaging (Hanford Production),178H0034,2023-03-28
Hood Packaging (Minneapolis Production),181H7293,2023-06-13
Hood Packaging (Monticello & Summerville Production),179H5787,2023-03-28
Hood Packaging (Salaried St Paul Special Class),172H5516,2023-06-07
Hood Packaging (St Paul Choice Production),169H8257,2023-06-28
Hood Packaging (Vancouver Production),170H4010,2023-05-31
Hood Packaging (Wilmington Production),171H9763,2023-05-31
Horich Hector Lebow Advertising Inc,912H6736,2020-04-24
Human Resources Research Organization,474H9922,2022-02-04
"Humphrey Rich Construction Group, Inc.",288H9864,2020-10-12
"Hypori, Inc.",006H0518,2022-10-12
ICT Industries Inc.,642I9426,2023-12-29
Imagine Pediatrics Holdings LLC,708I9124,2024-04-26
Imagine Pediatrics Provider Holdings PLLC,707I3371,2024-05-03
In Bloom Florist,325I5725,2023-07-13
Independent School Management,383I9399,2024-01-11
"IndraSoft, Inc",840I2520,2019-01-11
Infinitive,965I4645,2022-10-26
Inky Technology Corporation,026I2578,2019-02-27
"Innovative Defense Technologies, LLC",093I1029,2023-09-12
"Innovative Systems Group of Florida, Inc.",608I3824,2023-11-01
InOutsource LLC,962I7386,2022-08-30
"Insightec, Inc.",606I2318,2024-02-01
Institute For Advanced Clinical Trials For Children,889I4417,2021-02-01
Integrated Design Solutions LLC,054I6662,2023-01-16
Intelligent Automation,004I6012,2019-02-11
"Intelligent Waves, LLC",057I0921,2019-03-18
IntelliWare Systems,762I3786,2018-07-05
"Interior Systems, Inc",823I7719,2022-07-19
International Foodservice Distributors Association,501I5253,2021-11-03
"International Motor Cars, Inc.",553I1409,2020-05-12
International Systems Management Corp.,202I5106,2020-03-04
Internet Society,380I9140,2021-10-20
Internet Testing Systems ,160I0480,2020-01-10
InterWorks LLC ,016I5048,2018-12-27
"Invisors, LLC",447I4591,2022-06-16
IPC Systems Inc.,718I3654,2022-04-04
Iron Hill Brewery LLC,482K2946,2024-05-21
"Irpino Law Firm, LLC",771I1563,2024-05-03
J Street ,086J7758,2019-05-03
"J.D. Neuhaus, L.P.",246J1238,2023-07-26
J.G. Edelen Company Inc,155J1715,2019-10-04
"Jackson Spalding, Inc.",645J6685,2024-01-04
Jacksonville Veterinary Hospital,696J4088,2018-10-09
"Janet, Janet & Suggs, LLC",632J8896,2022-08-03
JBA Chevrolet,740J7220,2022-10-18
Jellyfish,855J8815,2018-10-19
"JOKR fulfillment Services, LLC",811J8683,2022-04-12
Jones Junction,034J5602,2018-09-13
JR Balsan dba Johnstone Supply,872J9616,2022-09-29
"KA Support Services, LLC",244K6732,2021-01-18
KC Jones Plating Company,574K5222,2021-12-21
"KCW Engineering Technologies, Inc.",620K2860,2024-01-24
"KDP Investments, LLC",769K4057,2018-10-02
"Keller Transportation, Inc.",040K0120,2022-01-17
"Kelly & Associates Insurance Group, Inc.",003K7259,2021-07-14
"Kerecis, LLC ",348K5044,2021-01-29
kern,642K3426,2018-07-19
"Kersh Information Technology Services, LLC",365K2845,2021-03-18
Key Autism Services,397K9941,2024-01-30
Knight Energy Services,386K6658,2024-07-15
"Kolmac Clinic, LLC",968K8904,2018-12-14
"L2M, Inc",567L1951,2018-12-10
"Laurita Excavating, Inc. dba Laurita, Inc.",455L0615,2021-08-03
"LCB Solutions, LLC",310L6430,2020-10-30
Leesburg Veterinary Services,960L2880,2018-06-25
Leo Capital Operations LLC,401L2953,2024-03-20
LexMar Global Inc.,332L3996,2024-01-22
"Lids Holdings, Inc.",132L2396,2020-09-09
"Lifescan Labs of Illinois, LLC",884L8652,2022-07-08
Lighthouse Property Management,080L3240,2019-04-29
Lincoln National Bank,561L0433,2021-11-15
"Linux Academy, Inc.",186L3058,2020-01-21
Living Classrooms Foundation,630L7390,2022-01-06
"Longeviti Neuro Solutions, LLC",377L1881,2021-05-05
Lundberg Builders,862L9086,2018-08-01
Lutheran Social Ministries of Maryland,384L5152,2023-10-25
"M. Nelson Barnes & Son, Inc.",287M4111,2020-09-25
"M3 COM of Virginia, Inc.",164M6492,2019-12-04
Main Electric Supply Company LLC,010M0530,2018-12-28
Manor College,381M4893,2021-06-16
"March Hodge Bowie, LLC",359M8327,2021-02-18
"Marriner Marketing Communications, Inc.",845M7285,2024-07-31
Martin Greenbaum,448M7344,2018-08-01
Maryland Energy Advisors LLC,678M6534,2024-03-23
Maryland Family Network,318M2454,2021-07-06
Maryland Hospital Association,100M8300,2019-06-28
Mathew Greenwald and Associates,895M8935,2021-02-04
"Matrix Capital Markets Group, Inc",369M5857,2021-05-27
Matthews Tire Inc.,378M0634,2023-08-09
MAX Surgical Specialty Management LLC,761M4033,2024-04-24
"McAllister, DeTar, Showalter & Walker LLC ",108M7324,2023-02-16
"MD Group, LLC DBA Hometown Pharmacy",345M0785,2023-09-15
Meetha Ventures LLC DBA Lolli & Pops,127M3631,2019-08-22
"MentorcliQ, Inc.",162M7986,2023-09-14
"Merit Commercial Windows, LLC",327M7231,2023-06-13
Merrill Iron and Steel Inc.,346M6538,2023-08-04
"MH Mechanical, LLC",722M9666,2024-06-03
"Miami International Holdings, Inc.",189M0317,2020-02-04
Mid-Atlantic Nephrology Associates PA,879M6887,2020-02-04
"Mike’s Train House, Inc. t.a MTH Electric Trains",494M4982,2021-11-03
"Miller & Zois, LLC",022M2566,2023-01-25
"Miscellaneous Metals, Inc",841M8273,2019-06-24
"Mission BBQ Management, LLC",885M1405,2019-05-24
"MJ Resurrection, Inc.",323M4219,2024-05-31
"MMP of Merrill, Inc.",349M3797,2023-08-04
"Modern Technology Solutions, Inc.",744M0232,2020-09-24
Monogram Builders,605M6565,2023-12-19
"Monumental Paving & Excavating, Inc.",315M5195,2021-03-24
Morelli Motors LLC dba Nissan of Lexington Park,361M9833,2021-02-16
"Morgan Building, LLC",798M6894,2024-06-07
"MORI Associates, Inc.",842M4026,2018-09-25
Mount Washington Pediatric Hospital,097M8041,2019-02-26
"Mount Washington Veterinarian Medical Group, PA",290M1370,2020-10-19
Mountain Christian Church,471M2663,2021-09-01
MZQ Consulting LLC,DEMOMZQ,2017-12-14
MZQ Consulting LLC,002M1506,2018-12-28
N. Ginsburg & Sons Inc. t.a Floors Etc.,126N7878,2019-08-15
"N.K.S. Distributors, Inc.",798N0894,2019-04-11
National 4-H Council,982N9446,2018-09-12
National Association of Broadcasters,664N9992,2019-09-16
National Association of Conservation Districts,528N0584,2022-11-07
National Communication Association,079N7487,2019-05-03
National Society Daughters of the American Revolution,643N5179,2023-12-29
"Nationwide IT Services, Inc.",025N6825,2018-11-29
"Nationwide Mortgage Bankers, Inc.",415N0495,2021-05-17
Nationwide Property & Appraisal Services LLC,161N2233,2023-11-02
Network Doctor NJ LLC,319N8207,2021-02-16
NewRez,115N4595,2019-09-23
Nexus Health,785N6105,2018-10-16
Nickle Electrical Companies,947N8091,2018-10-09
"Noel’s Fire Protection Management Services, LLC",366N8598,2021-03-01
"Northeast Remsco, Inc.",030N8590,2022-11-11
"Nteligen, LLC",921N8513,2018-02-01
Nucar Connection,151N8703,2018-09-28
"Nutramax Laboratories, Inc. Health & Welfare Plan",558N0174,2019-01-14
"Nuvera, LLC",000N3000,2018-10-01
Oasis Group Holdings,307O9171,2021-07-14
Obsidian Solutions Group,206O8118,2020-04-22
"OMNITEC Solutions, Inc.",981O3693,2018-09-14
OpenPath Products LLC,326O1478,2023-06-23
"OR Nurses Nationwide, Inc. DBA Travel Nurses",788O9364,2024-07-01
"Oriente Triangle Latin America, Inc.",014O3542,2018-12-14
Orthopaedic Medical Group of Tampa Bay,702O1606,2022-02-09
Outotec (USA) Inc.,475O2675,2019-12-11
Packaging Machinery Manufacturer Institute,961P1633,2022-09-28
Packer Fastener & Supply Inc.,430P9790,2023-10-18
Padonia LLC t.a Bluestone,167P3751,2020-01-10
"Paragon Potato Farms, Inc.",729P9937,2024-03-19
Parks & People Foundation,995P4235,2018-10-19
"PD Systems, Inc.",208P9624,2020-04-03
"Pearlman Enterprises, Inc.",921P5513,2024-06-07
"Pennsylvania Multifamily Asset Managers, LLC",819P1707,2021-01-20
People Assisting the Homeless (PATH),406P8718,2021-04-01
PEP Printing Inc. dba Premier Press,183P5799,2020-04-17
"Performance Pallet, LLC",870P1110,2024-07-15
"Personic Management Company, LLC dba Personic Health",828P9484,2024-08-14
Peterson Companies,432P8296,2021-06-16
"Petitbon Alarm Company, Inc.",339P3267,2021-03-10
"Phaxis, LLC",905P9465,2022-10-25
"Phillips Foods, Inc.",061P3933,2021-10-13
"Phoenix Operations Group, LLC",654P2462,2018-09-20
"Phoenix Services, LLC",138P6914,2020-01-10
Pike Enterprises,009P7777,2023-06-20
"PinnacleCare International, LLC",166P7998,2019-12-18
Pioneer Building Services,020P8060,2019-01-15
Pioneer Transportation LTD,425P1025,2023-10-10
"Pizza Johns, Inc.",165P2245,2020-04-07
Placers Inc. of DE,207P3871,2021-02-02
Plaza Ford,893P7429,2018-05-10
"Ponsse North America, Inc.",350P9550,2023-07-27
Population Services International,159P4727,2019-07-22
Populus Group Internal,935P2055,2022-11-02
"Populus Group, LLC.",013P7789,2018-12-12
"Portland Rent All, Inc. dba The Party Place",114P8842,2019-08-23
"Praesum Healthcare Services, LLC",226P3178,2020-06-26
"Preferred Systems Solutions, Inc.",173P5269,2020-03-11
"Prince & Luffey, LLC dba Paramount Healthcare",843P2779,2022-05-26
"Prince CPA Group, LLC",062P2686,2023-02-17
"Priority Ambulance, LLC",951P4103,2023-07-13
PRN Software LLC dba DoseSpot,165P5245,2024-03-25
Procession Systems,213P8389,2020-04-23
"Prosper Health Services, LLC",760P8280,2024-05-09
"Pro-Sphere Tek, Inc.",071P1463,2019-04-01
Proud Moments ABA,500P9500,2022-04-13
"Providence Center, Inc.",076P0228,2019-04-05
"Psych Associates Group, LLC",759P2527,2024-05-13
"PT Network, LLC (Pivot)",122P4866,2019-08-07
Qualitas Insurance Group,021Q3813,2018-11-14
"R&K Enterprise Solutions, Inc.",756R5268,2024-05-06
Rain Retail Software,154R1962,2023-10-24
"Rainelle Medical Center, Inc.",193R3329,2020-03-20
"RBJ Wealth Management, LLC",321R9713,2020-12-17
"Recast Software, Inc",830R0990,2024-06-27
Receivable Solutions LLC,135R2655,2023-05-19
Red Hawk LLC,904R0712,2019-09-11
"REDLattice, Inc",054R3662,2019-03-26
"Reedman Toll, LP",243R0979,2020-10-02
"Refuah Health Center, Inc.",789R2117,2022-04-06
"Regional Management, Inc.",168R6504,2023-09-19
"Rev Renewables Ops, LLC",950R8350,2022-10-28
Revival Holdings LLC,447R4591,2021-07-07
"RFC, Inc.",019R2307,2019-03-05
"RGL Holdings, Inc.",427R2531,2023-10-16
"Richford Health Center, Inc.",430R6790,2021-08-16
Ripken Holdings,505R5265,2023-06-28
Roadside Development LLC,492R3476,2021-10-11
Rock Springs Capital Management LP,227R8931,2020-05-28
"Roger Cleveland Golf, Inc.",843R9779,2020-05-05
"RPE, LLC",351R5303,2023-09-07
"rR.V. Carey's Plumbing and Heating, Inc. ",421R5013,2021-05-21
"RREMC Restaurants, LLC",669R4757,2024-03-05
Rule Marketing LLC dba Bones Coffee Company,607R8071,2023-11-06
"S&K Roofing, Siding and Windows, Inc.",152S7456,2019-12-03
SA Hospitality Group LLC,096S8288,2023-01-31
"Salvo Limited Partnership, LLLP",151S4703,2023-07-31
Sample Company,compass,2018-12-20
"Sanford School, Inc.",745S5985,2021-02-04
"Schaefer Mechanical Services, Inc.",794S0882,2022-03-25
"Schierl Sales Corp, Inc.",353S6809,2023-09-01
"Schlachman, Belsky, Weiner & Davey, P.A.",219S2907,2020-04-14
"Scott-Long Construction, Inc.",252S9756,2020-06-29
"SCP Orthopedic Service, LLC",152S0456,2023-10-18
"SCP WQS Lower Holdco, LLC",163S3739,2023-10-16
"SDI, Inc.",710S7630,2022-03-07
"Seerist, Inc.",128S2384,2023-03-08
Semilab USA LLC,392S1176,2023-08-30
"Service Unlimited, Inc.",074S1722,2023-01-27
"ServiceSource, Inc.",297S1641,2020-10-20
Sharp Packaging Services LLC,309S0677,2022-06-13
"Shepherd Center, Inc.",785S2105,2024-06-11
"Sibley, Tifton & Hazleton Production",214S1142,2023-03-16
"Sierra7, Inc.",242S5226,2020-06-29
"Smartlink, LLC",092S9276,2021-02-24
Sonny's Enterprises,111S1583,2024-05-03
"Sonobi, Inc.",336S9008,2023-09-07
"South Hill Family Medicine, PC",392S8176,2021-07-01
"South Milhausen, P.A.",768S4304,2024-05-16
Southern Graphics Systems Inc.,125S2125,2019-09-19
Southern HVAC,741S5973,2022-04-13
Spalding & Day Tool & Die,844S8532,2022-06-22
Spring Foods Holdings,947S1091,2023-04-13
"Square Roots Holdings, LLC.",209S5377,2020-07-22
St. Francis Neighborhood Center,974S6422,2022-10-11
St. Paul & Biddle Medical Associates,997S5741,2018-10-18
"St. Vincent de Paul of Baltimore, Inc",005S1765,2018-10-31
Stern & Eisenberg P.C.,389S0917,2021-06-16
"Sterne, Kessler, Goldstein & Fox P.L.L.C.",017S7801,2018-10-12
"Strahman Valves, Inc.",276S0828,2020-10-12
Sulgrave Club Inc.,362S5586,2021-02-16
